block,key,cost1,cost2,cost3
scn,latitude,48.265257,48.265257,48.265257
scn,longitude,11.668649,11.668649,11.668649
scn,wacc,0.05,0.05,0.05
scn,period_eco,20,20,20
scn,timezone,Europe/Berlin,Europe/Berlin,Europe/Berlin
scn,sim_start,01-01-2023 00:00,01-01-2023 00:00,01-01-2023 00:00
scn,sim_duration,365,365,365
scn,sim_freq,1,1,1
fix,capex_initial,0,0,0
fix,capem_initial,0,0,0
dem,slp,g3,g3,g3
dem,e_yrl,600e6,600e6,600e6
grid,capex_spec,200e-3,200e-3,200e-3
grid,capem_spec,0,0,0
grid,opex_spec_buy,23e-5,23e-5,23e-5
grid,opex_spec_sell,-6e-5,-6e-5,-6e-5
grid,opex_spec_peak,0.152,0.152,0.152
grid,opem_spec,0.386e-3,0.386e-3,0.386e-3
grid,ls,20,20,20
grid,capacity,200e3,200e3,400e3
pv,capex_spec,900e-3,900e-3,900e-3
pv,capem_spec,798e-3,798e-3,798e-3
pv,opex_spec,0,0,0
pv,opem_spec,0,0,0
pv,ls,18,18,18
pv,capacity,200e3,200e3,700e3
ess,capex_spec,450e-3,450e-3,450e-3
ess,capem_spec,69e-3,69e-3,69e-3
ess,opex_spec,0,0,0
ess,opem_spec,0,0,0
ess,ls,12,12,12
ess,capacity,50e3,50e3,250e3
ess,soc_init,0.5,0.5,0.5
ess,c_rate_max,0.5,0.5,0.5
fleet,subblocks,"['hlt']",['hlt'],['hlt']
fleet,opex_spec_fuel,1.56,1.56,1.56
fleet,opem_spec_fuel,3.08,3.08,3.08
fleet,opex_spec_onroute_charging,49e-5,49e-5,49e-5
fleet,opem_spec_onroute_charging,0.386e-3,0.386e-3,0.386e-3
hlt,name,hlt,hlt,hlt
hlt,ls,6,6,6
hlt,num_bev,0,30,30
hlt,num_icev,30,0,0
hlt,capacity,480e3,480e3,480e3
hlt,charger,dc,dc,dc
hlt,p_max,400e3,400e3,400e3
hlt,capex_per_unit_bev,250e3,250e3,250e3
hlt,capex_per_unit_icev,150e3,150e3,150e3
hlt,capem_per_unit_bev,84.6e3,84.6e3,84.6e3
hlt,capem_per_unit_icev,54e3,54e3,54e3
hlt,mntex_spec_bev,0.1324,0.1324,0.1324
hlt,mntex_spec_icev,0.185,0.185,0.185
hlt,toll_frac,0.8,0.8,0.8
hlt,toll_spec_bev,0.0,0.0,0.0
hlt,toll_spec_icev,0.269,0.269,0.269
hlt,consumption_spec_icev,27.0,27.0,27.0
hlt,soc_init,0.5,0.5,0.5
cis,subblocks,"['dc']",['dc'],['dc']
cis,p_lm_max,inf,inf,inf
dc,name,dc,dc,dc
dc,num,0,10,10
dc,p_max,400e3,400e3,400e3
dc,capex_per_unit,80e3,80e3,80e3
dc,capem_per_unit,6520.0,6520.0,6520.0
dc,ls,8,8,8
