block,key,cost1,cost2,cost3
scn,latitude,48.265257,48.265257,48.265257
scn,longitude,11.668649,11.668649,11.668649
scn,wacc,0.05,0.05,0.05
scn,period_eco,20,20,20
scn,timezone,Europe/Berlin,Europe/Berlin,Europe/Berlin
scn,sim_start,01-01-2023 00:00,01-01-2023 00:00,01-01-2023 00:00
scn,sim_duration,365,365,365
scn,sim_freq,1,1,1
fix,capex_initial,0,0,0
fix,capem_initial,0,0,0
dem,slp,g3,g3,g3
dem,e_yrl,165e6,165e6,165e6
grid,capex_spec,200e-3,200e-3,200e-3
grid,capem_spec,0,0,0
grid,opex_spec_buy,23e-5,23e-5,23e-5
grid,opex_spec_sell,-6e-5,-6e-5,-6e-5
grid,opex_spec_peak,0.152,0.152,0.152
grid,opem_spec,0.386e-3,0.386e-3,0.386e-3
grid,ls,20,20,20
grid,capacity,43e3,43e3,86e3
pv,capex_spec,900e-3,900e-3,900e-3
pv,capem_spec,798e-3,798e-3,798e-3
pv,opex_spec,0,0,0
pv,opem_spec,0,0,0
pv,ls,18,18,18
pv,capacity,0.0,0.0,450e3
ess,capex_spec,450e-3,450e-3,450e-3
ess,capem_spec,69e-3,69e-3,69e-3
ess,opex_spec,0,0,0
ess,opem_spec,0,0,0
ess,ls,12,12,12
ess,capacity,0.0,0.0,100e3
ess,soc_init,0.5,0.5,0.5
ess,c_rate_max,0.5,0.5,0.5
fleet,subblocks,"['ust', 'usv']","['ust', 'usv']","['ust', 'usv']"
fleet,opex_spec_fuel,1.56,1.56,1.56
fleet,opem_spec_fuel,3.08,3.08,3.08
fleet,opex_spec_onroute_charging,49e-5,49e-5,49e-5
fleet,opem_spec_onroute_charging,0.386e-3,0.386e-3,0.386e-3
ust,name,ust,ust,ust
ust,ls,6,6,6
ust,num_bev,0,5,5
ust,num_icev,5,0,0
ust,capacity,160e3,160e3,160e3
ust,charger,ac,ac,ac
ust,p_max,43e3,43e3,43e3
ust,capex_per_unit_bev,150e3,150e3,150e3
ust,capex_per_unit_icev,100e3,100e3,100e3
ust,capem_per_unit_bev,26.7e3,26.7e3,26.7e3
ust,capem_per_unit_icev,16.2e3,16.2e3,16.2e3
ust,mntex_spec_bev,0.1051,0.1051,0.1051
ust,mntex_spec_icev,0.1577,0.1577,0.1577
ust,toll_frac,0.3,0.3,0.3
ust,toll_spec_bev,0.0,0.0,0.0
ust,toll_spec_icev,0.137,0.137,0.137
ust,consumption_spec_icev,19.0,19.0,19.0
ust,soc_init,0.5,0.5,0.5
usv,name,usv,usv,usv
usv,ls,6,6,6
usv,num_bev,0,40,40
usv,num_icev,40,0,0
usv,capacity,81e3,81e3,81e3
usv,charger,ac,ac,ac
usv,p_max,22e3,22e3,22e3
usv,capex_per_unit_bev,45e3,45e3,45e3
usv,capex_per_unit_icev,35e3,35e3,35e3
usv,capem_per_unit_bev,13.87e3,13.87e3,13.87e3
usv,capem_per_unit_icev,8.622e3,8.622e3,8.622e3
usv,mntex_spec_bev,0.0275,0.0275,0.0275
usv,mntex_spec_icev,0.0339,0.0339,0.0339
usv,toll_frac,0.0,0.0,0.0
usv,toll_spec_bev,0.0,0.0,0.0
usv,toll_spec_icev,0.0,0.0,0.0
usv,consumption_spec_icev,11.0,11.0,11.0
usv,soc_init,0.5,0.5,0.5
cis,subblocks,['ac'],['ac'],['ac']
cis,p_lm_max,inf,inf,inf
ac,name,ac,ac,ac
ac,num,0,45,45
ac,p_max,43e3,43e3,43e3
ac,capex_per_unit,2000,2000,2000
ac,capem_per_unit,65.4,65.4,65.4
ac,ls,8,8,8
