year,cost1,cost2,cost3
0,0,3.0,7.0
0,5,6.75,9.5
1,6,7.5,10.0
1,6,7.5,10.0
2,7,8.25,10.5
2,7,8.25,10.5
3,8,9.0,11.0
3,8,9.0,11.0
4,9,9.75,11.5
4,9,9.75,11.5
5,10,10.5,12.0
5,15,14.25,14.5
6,16,15.0,15.0
6,16,15.0,15.0
7,17,15.75,15.5
7,17,15.75,15.5
8,19,17.25,16.5
8,19,17.25,16.5
9,22,19.5,18.0
9,30,25.5,22.0
10,32,27.0,23.0
10,32,27.0,23.0
11,34,28.5,24.0
11,34,28.5,24.0
12,37,30.75,25.5
12,37,30.75,25.5
13,38,31.5,26.0
13,43,35.25,28.5
14,44,36.0,29.0
14,44,36.0,29.0
15,45,36.75,29.5
15,45,36.75,29.5
16,47,38.25,30.5
16,47,38.25,30.5
17,48,39.0,31.0
17,52,42.0,33.0
18,53,42.75,33.5
18,53,42.75,33.5
19,55,44.25,34.5
19,58,46.5,36.0
20,60,48.0,37.0
20,57,45,35.0
