year,cost1,cost2,cost3
0,0.0,0.0,0.0
0,4.7425,8.5425,9.122499999999999
1,6.965679464920388,10.007567426834662,10.207015550845826
1,6.965679464920388,10.007567426834662,10.207015550845826
2,9.082993241035044,11.402869738105768,11.239887504032327
2,9.082993241035044,11.402869738105768,11.239887504032327
3,11.099482551620431,12.731729082173489,12.22357507849566
3,11.099482551620431,12.731729082173489,12.22357507849566
4,13.019948561701751,13.997309409857031,13.160420387508358
4,13.019948561701751,13.997309409857031,13.160420387508358
5,14.848963809398246,15.202624007650883,14.052654015139499
5,14.848963809398246,15.202624007650883,14.052654015139499
6,16.590883092918716,16.350542672216456,14.902400327169158
6,19.94885237778354,21.947158146991164,20.49901580194386
7,21.607823123993512,23.040414018005993,21.308298003876867
7,21.607823123993512,23.040414018005993,21.308298003876867
8,23.187795263241103,24.081610085639163,22.07904295809878
8,23.187795263241103,24.623081575262113,22.620514447721728
9,24.692530633953098,25.614696877769898,23.35455726126641
9,24.692530633953098,25.614696877769898,23.35455726126641
10,26.125611939393092,26.559092403967785,24.053645655118483
10,26.125611939393092,26.559092403967785,24.053645655118483
11,27.490451277907372,27.458516714632438,24.71944412545379
11,27.490451277907372,27.458516714632438,24.71944412545379
12,28.790298266968588,28.315111296217825,25.353537906725514
12,31.3085954906766,32.503920774458514,29.59246275260218
13,32.546545004068236,33.31972513787317,30.196361591908584
13,32.546545004068236,33.31972513787317,30.196361591908584
14,33.725544540631695,34.09668167445855,30.771503343628968
14,33.725544540631695,34.09668167445855,30.771503343628968
15,34.84840124212071,34.83664028073035,31.319257392886477
15,34.84840124212071,34.83664028073035,31.319257392886477
16,35.917788576872155,35.54136276289397,31.840927915988864
16,35.917788576872155,35.90785198048708,32.207417133581984
17,36.93625270520686,36.579016249214334,32.704246203203304
17,36.93625270520686,36.579016249214334,32.704246203203304
18,37.90621854171611,37.21822031466886,33.1774167456998
18,39.85085520649592,40.40941894405113,36.555599669772434
19,40.774632193647584,41.01818472067448,37.00623828167386
19,40.774632193647584,41.01818472067448,37.00623828167386
20,41.65441980045869,41.597961650791966,37.435417912056174
20,40.46062236345846,39.49962945489653,35.17502323852536
